Reaction Date,Reaction Type,Parent Type,Parent ID
"Feb 15, 2024, 7:38:56 PM",Kudos,Activity,10768130403
"Feb 16, 2024, 9:52:06 PM",Kudos,Activity,10774134139
"Feb 16, 2024, 10:04:57 PM",Kudos,Activity,10707058348
"Feb 17, 2024, 11:54:15 AM",Kudos,Activity,10778779958
"Feb 17, 2024, 11:54:18 AM",Kudos,Activity,10778685292
"Feb 17, 2024, 2:51:53 PM",Kudos,Activity,10779375796
"Feb 18, 2024, 12:42:01 PM",Kudos,Activity,10786581622
"Feb 18, 2024, 1:29:14 PM",Kudos,Activity,10786487541
"Feb 19, 2024, 7:20:41 AM",Kudos,Activity,10788457681
"Feb 19, 2024, 7:56:06 PM",Kudos,Activity,10795330347
"Feb 20, 2024, 8:02:25 PM",Kudos,Activity,10802815538
"Feb 22, 2024, 8:02:04 PM",Kudos,Activity,10815947508
"Feb 24, 2024, 2:49:27 PM",Kudos,Activity,10825734501
"Feb 26, 2024, 7:30:12 AM",Kudos,Activity,10832942737
"Feb 27, 2024, 8:14:47 PM",Kudos,Activity,10849840562
"Feb 28, 2024, 10:33:40 PM",Kudos,Activity,10856471935
"Feb 28, 2024, 10:38:38 PM",Kudos,Activity,10856645301
"Mar 1, 2024, 3:11:49 PM",Kudos,Activity,10867458287
"Mar 1, 2024, 7:22:59 PM",Kudos,Activity,10868785105
"Mar 2, 2024, 2:52:19 PM",Kudos,Activity,10873234542
"Mar 2, 2024, 2:52:40 PM",Kudos,Activity,10872324871
"Mar 3, 2024, 9:21:50 AM",Kudos,Activity,10878964263
"Mar 3, 2024, 9:21:53 AM",Kudos,Activity,10878995864
"Mar 4, 2024, 7:55:15 AM",Kudos,Activity,10886057662
"Mar 4, 2024, 12:36:31 PM",Kudos,Activity,10879355304
"Mar 5, 2024, 11:40:54 AM",Kudos,Activity,10893216258
"Mar 5, 2024, 7:37:06 PM",Kudos,Activity,10897480688
"Mar 6, 2024, 6:27:48 AM",Kudos,Activity,10898675187
"Mar 6, 2024, 8:18:56 PM",Kudos,Activity,10903211608
"Mar 7, 2024, 5:10:15 PM",Kudos,Activity,10910140808
"Mar 7, 2024, 8:28:49 PM",Kudos,Activity,10909071616
"Mar 7, 2024, 8:44:36 PM",Kudos,Activity,10911587058
"Mar 9, 2024, 2:53:10 PM",Kudos,Activity,10920865198
"Mar 9, 2024, 4:17:02 PM",Kudos,Activity,10920812473
"Mar 10, 2024, 11:46:58 AM",Kudos,Activity,10929184810
"Mar 10, 2024, 11:47:58 AM",Kudos,Activity,10929204762
"Mar 10, 2024, 11:59:49 AM",Kudos,Activity,10929303264
"Mar 14, 2024, 7:23:11 PM",Kudos,Activity,10959223959
"Mar 15, 2024, 11:41:45 PM",Kudos,Activity,10965858795
"Mar 17, 2024, 10:48:13 AM",Kudos,Activity,10969876164
"Mar 21, 2024, 5:59:19 PM",Kudos,Activity,11009084803
"Mar 22, 2024, 6:46:45 PM",Kudos,Activity,11016225438
"Mar 24, 2024, 5:30:08 PM",Kudos,Activity,11028735192
"Mar 24, 2024, 5:30:12 PM",Kudos,Activity,11027429409
"Mar 24, 2024, 5:30:29 PM",Kudos,Activity,11026416558
"Mar 26, 2024, 11:45:05 PM",Kudos,Activity,11043323301
"Apr 3, 2024, 7:58:50 AM",Kudos,Activity,11092509831
"Apr 3, 2024, 9:16:12 PM",Kudos,Activity,11099445173
"Apr 8, 2024, 9:16:34 PM",Kudos,Activity,11126258865
"Apr 10, 2024, 11:32:29 PM",Kudos,Activity,11145136026
"Apr 13, 2024, 11:11:53 PM",Kudos,Activity,11175480794
"Apr 14, 2024, 11:36:08 AM",Kudos,Activity,11178414708
"Apr 14, 2024, 2:00:45 PM",Kudos,Activity,11179012137
"Apr 18, 2024, 7:24:56 PM",Kudos,Activity,11210579114
"Apr 18, 2024, 7:25:15 PM",Kudos,Activity,11203834601
"Apr 20, 2024, 12:07:48 PM",Kudos,Activity,11221358251
"Apr 20, 2024, 1:10:42 PM",Kudos,Activity,11223624132
"Apr 24, 2024, 6:57:22 AM",Kudos,Activity,11250008882
"Apr 24, 2024, 6:57:24 AM",Kudos,Activity,11247660594
"Apr 24, 2024, 6:00:56 PM",Kudos,Activity,11255496509
"Apr 29, 2024, 7:37:38 PM",Kudos,Activity,11291401905
"Apr 29, 2024, 7:37:44 PM",Kudos,Activity,11281664035
"Apr 29, 2024, 7:38:07 PM",Kudos,Activity,11281102333
"May 1, 2024, 10:59:09 AM",Kudos,Activity,11305309688
"May 1, 2024, 10:59:13 AM",Kudos,Activity,11304826267
"May 2, 2024, 5:04:08 PM",Kudos,Activity,11312978794
"May 2, 2024, 5:04:12 PM",Kudos,Activity,11309731293
"May 3, 2024, 5:58:32 AM",Kudos,Activity,11316616412
"May 3, 2024, 5:11:14 PM",Kudos,Activity,11323084082
"May 5, 2024, 8:44:40 AM",Kudos,Activity,11335251875
"May 5, 2024, 8:44:42 AM",Kudos,Activity,11335304089
"May 5, 2024, 8:45:56 AM",Kudos,Activity,11331813044
"May 5, 2024, 9:04:46 AM",Kudos,Activity,11335311942
"May 5, 2024, 2:05:31 PM",Kudos,Activity,11336517131
"May 11, 2024, 6:27:47 PM",Kudos,Activity,11386783247
"May 12, 2024, 6:45:50 PM",Kudos,Activity,11395235108
"May 12, 2024, 6:45:53 PM",Kudos,Activity,11393516851
"May 14, 2024, 7:16:00 PM",Kudos,Activity,11410425211
"May 15, 2024, 2:48:41 PM",Kudos,Activity,11415518586
"May 16, 2024, 7:10:02 PM",Kudos,Activity,11426268503
"May 16, 2024, 8:12:42 PM",Kudos,Activity,11424914478
"May 20, 2024, 4:01:27 PM",Kudos,Activity,11446494546
"May 20, 2024, 4:15:11 PM",Kudos,Activity,11456347834
"May 22, 2024, 8:06:23 PM",Kudos,Activity,11473106341
"May 22, 2024, 8:06:32 PM",Kudos,Activity,11471787582
"May 23, 2024, 7:51:08 PM",Kudos,Activity,11479624672
"May 26, 2024, 7:33:17 PM",Kudos,Activity,11504895189
"May 28, 2024, 7:54:06 AM",Kudos,Activity,11511271760
"May 28, 2024, 7:54:12 AM",Kudos,Activity,11510333028
"May 28, 2024, 7:54:18 AM",Kudos,Activity,11509994442
"Jun 4, 2024, 8:32:00 PM",Kudos,Activity,11573704263
"Jun 4, 2024, 8:32:04 PM",Kudos,Activity,11573233928
